Task,Category,Priority,Status,Notes
Free shipping threshold setup,Tech / Shopify,High,Pending,"Set threshold at $100–$125. Add dynamic 'Add $X more for free shipping' bar in cart."
Abandoned cart email recovery,Tech / Shopify,High,Pending,"3-email sequence via Klaviyo/Shopify. 100% email capture rate — ~$60K/month untapped."
Evergreen gift collections,Tech / Shopify,High,Pending,"Create: Birthday, Wedding, Corporate, Anniversary, Just Because collections."
Gift finder quiz,Tech / Shopify,Medium,Pending,"Octane AI or similar. Budget → Occasion → Spirit preference → curated recommendation."
Loyalty program activation,Tech / Shopify,Medium,Pending,"Smile.io — make points visible on product pages & cart. Add milestone notification at checkout."
Trust signals at checkout,Tech / Shopify,Medium,Pending,"Add reviews (Yotpo), delivery guarantee, Why Sipsy callouts, real delivery times."
Google Analytics deep dive,Tech / Shopify,Medium,Pending,"Need GA4 access or reports from Hala. Funnel drop-off, mobile vs desktop, traffic sources."
Revoke old developer access,Tech / Shopify,Medium,Pending,"Remove faisal@spaceraceinteractive.com from Shopify staff."
Instagram/TikTok content (20 ideas),Marketing,High,In Progress,"20 ideas drafted and emailed. Filming today."
Year-round gifting campaign strategy,Marketing,High,Pending,"Tie into evergreen gift collections. Tequila Day, Valentine's, Mother's Day, Father's Day."
Loyalty reactivation email,Marketing,Medium,Pending,"Re-engage ~30K dormant customers. 'You have X points waiting.'"
VIP customer program,Marketing,Medium,Pending,"Top spenders ($500+/year). Early access to allocations, free gift wrap, personal notes."
Instagram/TikTok account audit,Marketing,Low,Pending,Once screenshots reviewed.
Paid ads strategy,Marketing,Low,Pending,After organic content is dialed in.
3 new location openings,In-Store,High,Pending,"Strategy TBD. Total 6 LA locations planned."
Loyalty program in-store integration,In-Store,Medium,Pending,Connect online + in-store Smile.io.
In-store event / tasting strategy,In-Store,Low,Pending,"Sephora-of-alcohol culture building. Community events, brand nights."
